Datum;Last (MW);Erzeugung (MW);Importe (MW)
23.10.2021 00:00;1179.075;301.595;937.012
24.10.2021 00:00;1107.408;253.018;922.013
25.10.2021 00:00;1306.008;424.644;946.568
26.10.2021 00:00;1306.867;446.351;931.878
27.10.2021 00:00;1321.717;414.281;969.179
28.10.2021 00:00;1270.985;371.377;972.443
29.10.2021 00:00;1287.765;309.684;1050.340
30.10.2021 00:00;1163.382;279.200;955.429
31.10.2021 00:00;895.849;269.732;883.748
01.11.2021 00:00;1348.860;329.947;1018.913
02.11.2021 00:00;1316.532;459.494;921.695
03.11.2021 00:00;1307.749;489.159;873.822
04.11.2021 00:00;1319.361;457.653;935.950
05.11.2021 00:00;1294.350;399.196;963.689
06.11.2021 00:00;1175.412;365.034;879.612
07.11.2021 00:00;1143.981;329.759;885.873
08.11.2021 00:00;1323.491;463.483;929.500
09.11.2021 00:00;1319.679;431.411;935.486
10.11.2021 00:00;1302.221;457.645;902.931
11.11.2021 00:00;1328.875;473.796;924.465
12.11.2021 00:00;1327.720;422.295;980.996
13.11.2021 00:00;1223.707;366.518;931.487
14.11.2021 00:00;1160.809;379.297;854.008
15.11.2021 00:00;1348.719;478.416;933.043
16.11.2021 00:00;1337.193;488.837;909.373
17.11.2021 00:00;1346.776;487.208;939.248
18.11.2021 00:00;1336.881;414.049;997.588
19.11.2021 00:00;1309.900;392.084;989.224
20.11.2021 00:00;1198.646;348.124;915.568
21.11.2021 00:00;1146.200;362.365;849.088
22.11.2021 00:00;1419.376;453.687;965.688
23.11.2021 00:00;1331.253;457.304;930.167
24.11.2021 00:00;1313.617;461.288;916.658
25.11.2021 00:00;1357.104;486.381;940.597
26.11.2021 00:00;1350.740;459.527;960.538
27.11.2021 00:00;1237.250;480.698;822.744
28.11.2021 00:00;1177.672;461.315;783.861
29.11.2021 00:00;1343.919;446.423;957.394
30.11.2021 00:00;1356.970;443.134;985.375
01.12.2021 00:00;1356.375;409.775;1027.165
02.12.2021 00:00;1341.761;492.346;902.698
03.12.2021 00:00;1319.017;446.167;949.464
04.12.2021 00:00;1229.863;430.474;870.948
05.12.2021 00:00;1204.687;433.477;843.277
06.12.2021 00:00;1373.000;501.654;942.854
07.12.2021 00:00;1388.894;494.669;967.626
08.12.2021 00:00;1398.681;509.370;960.539
09.12.2021 00:00;1403.866;512.769;954.680
10.12.2021 00:00;1368.946;470.318;966.777
11.12.2021 00:00;1307.709;415.880;891.828
12.12.2021 00:00;1117.544;304.091;813.453
